SSUSEQ 1-5
SSUID 6-17
SPANEL 18-21
SWAVE 22-23
SROTATON 24-24
SREFMON 25-25
RHCALMN 26-27
RHCALYR 28-31
SHHADID 32-34
GVARSTR 35-37
GHLFSAM 38-38
GRGC 39-41
TFIPSST 42-43
TMOVRFLG 44-45
EOUTCOME 46-48
RHNF 49-50
RHNFAM 51-52
RHNSF 53-54
EHREFPER 55-58
EHHNUMPP 59-61
RHTYPE 62-62
WHFNWGT 63-72
TMETRO 73-73
RHCHANGE 74-74
RHNSSR 75-76
ETENURE 77-77
ATENURE 78-78
EPUBHSE 79-80
APUBHSE 81-81
EGVTRNT 82-83
AGVTRNT 84-84
TMTHRNT 85-90
AMTHRNT 91-91
EWRSECT8 92-93
AWRSECT8 94-94
EUTILYN 95-96
AUTILYN 97-97
EEGYAST 98-99
AEGYAST 100-100
EEGYPMT1 101-102
EEGYPMT2 103-104
EEGYPMT3 105-106
AEGYPMT 107-107
EEGYAMT 108-112
AEGYAMT 113-113
EHOTLUNC 114-115
AHOTLUNC 116-116
RNKLUN 117-118
EFREELUN 119-120
AFREELUN 121-121
EFRERDLN 122-123
AFRERDLN 124-124
EBRKFST 125-126
ABRKFST 127-127
RNKBRK 128-129
EFREEBRK 130-131
AFREEBRK 132-132
EFRERDBK 133-134
AFRERDBK 135-135
RPRGQUES 136-136
THEARN 137-143
THPRPINC 144-151
THTRNINC 152-158
THOTHINC 159-165
THTOTINC 166-173
RHNBRF 174-175
RHCBRF 176-177
RHMTRF 178-179
RHPOV 180-184
THPNDIST 185-191
THLUMPSM 192-199
THNONCSH 200-205
THSOCSEC 206-211
THSSI 212-217
THUNEMP 218-223
THVETS 224-229
THAFDC 230-235
THFDSTP 236-241
RFID 242-244
RFID2 245-247
EFNP 248-249
EFREFPER 250-253
EFSPOUSE 254-257
EFTYPE 258-259
RFCHANGE 260-260
EFKIND 261-262
RFNKIDS 263-264
RFOWNKID 265-266
RFOKLT18 267-268
RFNSSR 269-270
WFFINWGT 271-280
TFEARN 281-287
TFPRPINC 288-295
TFTRNINC 296-302
TFOTHINC 303-309
TFTOTINC 310-317
RFPOV 318-322
TFPNDIST 323-329
TFLUMPSM 330-337
TFSOCSEC 338-343
TFSSI 344-349
TFUNEMP 350-355
TFVETS 356-361
TFAFDC 362-367
TFFDSTP 368-373
RSID 374-376
ESFNP 377-378
ESFRFPER 379-382
ESFSPSE 383-386
ESFTYPE 387-388
ESFKIND 389-390
RSCHANGE 391-392
ESOWNKID 393-394
ESOKLT18 395-396
WSFINWGT 397-406
TSFEARN 407-413
TSPRPINC 414-421
TSTRNINC 422-428
TSOTHINC 429-435
TSTOTINC 436-443
RSFPOV 444-448
TSPNDIST 449-455
TSLUMPSM 456-463
TSSOCSEC 464-469
TSSSI 470-475
TSVETS 476-481
TSUNEMP 482-487
TSAFDC 488-493
TSFDSTP 494-499
EENTAID 500-502
EPPPNUM 503-506
EPPINTVW 507-508
EPOPSTAT 509-509
EBMNTH 510-511
ABMNTH 512-512
TBYEAR 513-516
ABYEAR 517-517
ESEX 518-518
ASEX 519-519
ERACE 520-520
ARACE 521-521
EORIGIN 522-523
AORIGIN 524-524
EBORNUS 525-526
ABORNUS 527-527
ECITIZEN 528-529
ACITIZEN 530-530
ENATCIT 531-532
ANATCIT 533-533
ESPEAK 534-535
ASPEAK 536-536
TLANG1 537-538
ALANG1 539-539
EHOWWELL 540-541
AHOWWELL 542-542
RLNGISOL 543-544
UEVRWID 545-545
UEVRDIV 546-546
EAFNOW 547-548
AAFNOW 549-549
EAFEVER 550-551
AAFEVER 552-552
UAF1 553-553
UAF2 554-554
UAF3 555-555
UAF4 556-556
UAF5 557-557
EVAYN 558-559
AVAYN 560-560
EVETTYP 561-562
AVETTYP 563-563
EVAQUES 564-565
AVAQUES 566-566
WPFINWGT 567-576
ESFR 577-577
ESFT 578-578
TAGE 579-580
AAGE 581-581
ERRP 582-583
ARRP 584-584
EMS 585-585
AMS 586-586
EPNSPOUS 587-590
APNSPOUS 591-591
EPNMOM 592-595
APNMOM 596-596
EPNDAD 597-600
APNDAD 601-601
EPNGUARD 602-605
APNGUARD 606-606
ETYPMOM 607-608
ATYPMOM 609-609
ETYPDAD 610-611
ATYPDAD 612-612
RDESGPNT 613-614
ULFTMAIN 615-616
UENTMAIN 617-618
TPEARN 619-625
TPPRPINC 626-633
TPTRNINC 634-640
TPOTHINC 641-647
TPTOTINC 648-655
TPPNDIST 656-660
TPLUMPSM 661-666
EHTLNYN 667-668
AHTLNYN 669-669
EBKFSYN 670-671
ABKFSYN 672-672
RCUTYP01 673-673
RCUOWN01 674-677
RCUTYP03 678-678
RCUOWN03 679-682
RCUTYP04 683-683
RCUOWN04 684-687
RCUTYP08 688-688
RCUOWN8A 689-692
RCUOWN8B 693-696
RCUTYP20 697-697
RCUOWN20 698-701
RCUTYP21 702-702
RCUOW21A 703-706
RCUOW21B 707-710
RCUTYP23 711-711
RCUOWN23 712-715
RCUTYP24 716-716
RCUOW24A 717-720
RCUOW24B 721-724
RCUTYP25 725-725
